repo,dag_id,file,lambda_uniform,critical_path_uniform,cycle_condensed,cycle_tasks,cp_tasks,permalink
ad20thboys/airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.empty_task_1,https://github.com/ad20thboys/airflow/blob/d7777bb910d9d5eac40849cc27993676ed0da7f6/airflow/example_dags/example_branch_python_dop_operator_3.py#L47
ad20thboys/airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/ad20thboys/airflow/blob/d7777bb910d9d5eac40849cc27993676ed0da7f6/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L32
aditishankar/test,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/aditishankar/test/blob/dd3c46115ed3d5af7e6a4a6f8745cffb9b762c3a/airflow/example_dags/example_branch_python_dop_operator_3.py#L54
aditishankar/test,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/aditishankar/test/blob/dd3c46115ed3d5af7e6a4a6f8745cffb9b762c3a/dags/test_dag.py#L31
aditishankar/test,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/aditishankar/test/blob/dd3c46115ed3d5af7e6a4a6f8745cffb9b762c3a/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L32
adityamillind98/Apache-Airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/adityamillind98/Apache-Airflow/blob/643d736ebb32c488005b3832c2c3f226a77900b2/airflow/example_dags/example_branch_python_dop_operator_3.py#L48
adityamillind98/Apache-Airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/adityamillind98/Apache-Airflow/blob/643d736ebb32c488005b3832c2c3f226a77900b2/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L34
airflow198612/airflow2,example_branch_dop_operator_v3,airflow/dist-packages/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/airflow198612/airflow2/blob/712c5509ca96e354b5d3cb1728154717a721e156/airflow/dist-packages/airflow/example_dags/example_branch_python_dop_operator_3.py#L31
aliyun/dataworks-spec,example_branch_dop_operator_v3,client/migrationx/migrationx-reader/src/main/python/src/test/test_dag_folder/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/aliyun/dataworks-spec/blob/a92e8ae5d5bcd4d7c598ae8510f8ab2c897aad4b/client/migrationx/migrationx-reader/src/main/python/src/test/test_dag_folder/example_branch_python_dop_operator_3.py#L34
beefjerky/new_airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/beefjerky/new_airflow/blob/6cb785c8a97829833db5293ad3458dd16fcbf68c/airflow/example_dags/example_branch_python_dop_operator_3.py#L31
beefjerky/new_airflow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/beefjerky/new_airflow/blob/6cb785c8a97829833db5293ad3458dd16fcbf68c/dags/test_dag.py#L29
billCaplan/apache-airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/billCaplan/apache-airflow/blob/0a6850647e531b08f68118ff8ca20577a5b4062c/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
billCaplan/apache-airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/billCaplan/apache-airflow/blob/0a6850647e531b08f68118ff8ca20577a5b4062c/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L32
brahmamtadepalli/airflow_external,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.empty_task_1,https://github.com/brahmamtadepalli/airflow_external/blob/41fefa146ac64379447db503b7dba82d5121f06a/airflow/example_dags/example_branch_python_dop_operator_3.py#L47
brahmamtadepalli/airflow_external,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/brahmamtadepalli/airflow_external/blob/41fefa146ac64379447db503b7dba82d5121f06a/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L32
