dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
druid_load_network_flows_internal_hourly,airflow-main,1,1,"'@hourly'",3600.0,713,10819.5,,main/dags/druid_load/druid_load_network_flows_internal_dag.py:62
druid_load_pageviews_daily_aggregated_daily,airflow-main,1,1,"'@daily'",86400.0,28,10524.5,,main/dags/druid_load/druid_load_pageviews_daily_dag.py:115
druid_load_pageviews_daily_aggregated_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,22153.1,,main/dags/druid_load/druid_load_pageviews_daily_dag.py:201
druid_load_pageviews_hourly,airflow-main,1,1,"'@hourly'",3600.0,708,8561.3,,main/dags/druid_load/druid_load_pageviews_hourly_dag.py:118
druid_load_pageviews_hourly_aggregated_daily,airflow-main,0,1,"",,28,12038.0,,
druid_load_prefupdate_daily,airflow-main,1,1,"'@daily'",86400.0,28,6545.6,,main/dags/druid_load/druid_load_prefupdate_dag.py:83
druid_load_prefupdate_hourly,airflow-main,1,1,"'0 0-22 * * *'",3600.0,679,5733.8,,main/dags/druid_load/druid_load_prefupdate_dag.py:57
druid_load_unique_devices_per_domain_daily,airflow-main,1,1,"'@daily'",86400.0,28,8895.2,,main/dags/druid_load/druid_load_unique_devices_per_domain_daily_dag.py:90
druid_load_unique_devices_per_domain_daily_aggregated_monthly,airflow-main,1,1,"DelayedMonthlyTimetable(timedelta(days=3))",,0,425.2,,main/dags/druid_load/druid_load_unique_devices_per_domain_daily_dag.py:158
druid_load_unique_devices_per_domain_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,13770.3,,main/dags/druid_load/druid_load_unique_devices_per_domain_monthly_dag.py:74
druid_load_unique_devices_per_project_family_daily,airflow-main,1,1,"'@daily'",86400.0,28,8922.9,,main/dags/druid_load/druid_load_unique_devices_per_project_family_daily_dag.py:95
druid_load_unique_devices_per_project_family_daily_aggregated_monthly,airflow-main,1,1,"DelayedMonthlyTimetable(timedelta(days=3))",,0,259.7,,main/dags/druid_load/druid_load_unique_devices_per_project_family_daily_dag.py:163
druid_load_unique_devices_per_project_family_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,13066.3,,main/dags/druid_load/druid_load_unique_devices_per_project_family_monthly_dag.py:73
druid_load_virtualpageview_daily,airflow-main,1,1,"'@daily'",86400.0,28,6809.0,,main/dags/druid_load/druid_load_virtualpageview_dag.py:127
druid_load_virtualpageview_monthly,airflow-main,1,1,"DelayedMonthlyTimetable(timedelta(days=3))",,0,1290.6,,main/dags/druid_load/druid_load_virtualpageview_dag.py:181
druid_load_webrequest_sampled_live_hourly,airflow-main,1,1,"'@hourly'",3600.0,714,5888.4,,main/dags/druid_load/druid_load_webrequest_sampled_live_hourly_dag.py:60
dump_day_of_hourly_pageviews,airflow-main,1,1,"'@daily'",86400.0,28,9380.0,,main/dags/pageview/dump_day_of_hourly_pageviews_dag.py:50
dump_month_of_daily_pageviews,airflow-main,1,1,"'@monthly'",2419200.0,0,17963.5,,main/dags/pageview/dump_month_of_daily_pageviews_dag.py:49
edit_hourly,airflow-main,1,1,"'@monthly'",2419200.0,0,165799.5,,main/dags/edit/edit_hourly_dag.py:37
edit_per_editor_per_page_daily,airflow-main,1,1,"'@daily'",86400.0,28,6558.7,,main/dags/wmf_contributors/edit_per_editor_per_page_daily_dag.py:41
edit_types_html,airflow-research,1,1,"'@daily'",86400.0,27,33305.3,,research/dags/edit_types_dag.py:95
edit_types_wikitext,airflow-research,1,1,"'@daily'",86400.0,26,28062.1,,research/dags/edit_types_dag.py:149
editor_counts_per_page_daily,airflow-dev,1,1,"'@daily'",86400.0,0,5703.9,max_active_runs,main/dags/wmf_contributors/editor_counts_per_page_daily_dag.py:62
editor_counts_per_page_daily,airflow-main,1,1,"'@daily'",86400.0,18,10814.8,max_active_runs,main/dags/wmf_contributors/editor_counts_per_page_daily_dag.py:62
editor_month,airflow-analytics-product,0,1,"",,0,161613.1,,
editors_daily_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,162116.8,,main/dags/geoeditors/editors_daily_monthly_dag.py:35
embeddings_weekly,airflow-search,0,1,"",,2,13809.8,,
external_task_sensor,airflow-test-k8s,0,1,"",,21,18.3,,
fetch_wiki_list_from_noc,airflow-test-k8s,0,1,"",,20,20.9,,
flagged_revisions_pending_hourly,,1,0,"'@hourly'",3600.0,0,,,analytics_product/dags/moderation/flagged_revisions_pending_hourly_dag.py:70
fulltext_head_queries_daily,airflow-search,0,1,"",,28,158.3,,
geoeditors_dag,airflow-platform-eng,1,1,"props.source_granularity",,0,173374.4,max_active_runs,platform_eng/dags/differential_privacy/geoeditors.py:79
geoeditors_edits_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,164180.2,,main/dags/geoeditors/geoeditors_edits_monthly_dag.py:27
geoeditors_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,164246.5,,main/dags/geoeditors/geoeditors_monthly_dag.py:34
